country,time,week,valence_score,gdpdev,gdplevel
australia,2020-02-09,2020-W06,0.5656,0.004177148627710486,100.644053968368
australia,2020-02-16,2020-W07,0.5656,0.006484013110037503,100.9387194349358
australia,2020-02-23,2020-W08,0.6068,0.008641269673606079,101.1982996616914
australia,2020-03-01,2020-W09,0.6392,0.001757499385122984,100.5453921400709
australia,2020-03-08,2020-W10,0.6116999999999999,0.001714170850609573,100.6030540959184
australia,2020-03-15,2020-W11,0.6612,-0.05514304818952089,95.08169799493302
australia,2020-03-22,2020-W12,0.6775,-0.106105267078271,90.39467727735658
australia,2020-03-29,2020-W13,0.6477999999999999,-0.1142090967222206,89.72040397631429
australia,2020-04-05,2020-W14,0.6477,-0.1429103050973496,87.21777115971928
australia,2020-04-12,2020-W15,0.6477,-0.141266200927901,87.39720615644916
australia,2020-04-19,2020-W16,0.6477,-0.1232606453620856,89.03998401786191
australia,2020-04-26,2020-W17,0.6478999999999999,-0.1036014104935394,90.84510072363709
australia,2020-05-03,2020-W18,0.6285999999999999,-0.1044425600645163,90.80604158541432
australia,2020-05-10,2020-W19,0.6285999999999999,-0.0945100610779355,91.7690390597064
australia,2020-05-17,2020-W20,0.6476999999999999,-0.07144240326763375,93.94915553415798
australia,2020-05-24,2020-W21,0.6476999999999999,-0.06814596348059944,94.29812264336479
australia,2020-05-31,2020-W22,0.6477,-0.06760962991533975,94.40691009156758
australia,2020-06-07,2020-W23,0.6476999999999999,-0.05443858550728768,95.69790615453554
australia,2020-06-14,2020-W24,0.6554,-0.04370992921051803,96.76991777592809
australia,2020-06-21,2020-W25,0.6554,-0.0722478923900142,94.10534741891426
australia,2020-06-28,2020-W26,0.6554,-0.03881414586569155,97.34483967338139
australia,2020-07-05,2020-W27,0.6361000000000001,-0.03504995973356615,97.75213230811592
australia,2020-07-12,2020-W28,0.6514999999999999,-0.03933444248819081,97.3942511393929
australia,2020-07-19,2020-W29,0.6524,-0.04089474451439959,97.28239014122867
australia,2020-07-26,2020-W30,0.6524,-0.05375273714689351,96.07903163125049
australia,2020-08-02,2020-W31,0.6524,-0.05720560306771971,95.80691739083377
australia,2020-08-09,2020-W32,0.6142,-0.05046813296379563,96.49425404648666
australia,2020-08-16,2020-W33,0.6142,-0.04401861360022608,97.15854088107918
australia,2020-08-23,2020-W34,0.6121000000000001,-0.04150121338439634,97.46351886270641
australia,2020-08-30,2020-W35,0.6121000000000001,-0.05598725461722649,96.10133476333023
australia,2020-09-06,2020-W36,0.6121000000000001,-0.03956904392736538,97.73234022067005
australia,2020-09-13,2020-W37,0.6121000000000001,-0.04153535878015182,97.60052386924585
